district_id,day,items
1,Mon,"{egg, milk, rice, cauliflower, daal, roti, ladies finger}"
1,Tue,"{egg, milk, rice, cauliflower, daal, roti, ladies finger}"
1,Wed,"{egg, milk, rice, cauliflower, daal, roti, ladies finger}"
1,Thu,"{egg, milk, rice, cauliflower, daal, roti, ladies finger}"
1,Fri,"{egg, milk, rice, cauliflower, daal, roti, ladies finger}"
2,Mon,"{egg, milk, rice, cauliflower, daal, roti, ladies finger}"
2,Tue,"{egg, milk, rice, cauliflower, daal, roti, ladies finger}"
2,Wed,"{egg, milk, rice, cauliflower, daal, roti, ladies finger}"
2,Thu,"{egg, milk, rice, cauliflower, daal, roti, ladies finger}"
2,Fri,"{egg, milk, rice, cauliflower, daal, roti, ladies finger}"
3,Mon,"{egg, milk, rice, cauliflower, daal, roti, ladies finger}"
3,Tue,"{egg, milk, rice, cauliflower, daal, roti, ladies finger}"
3,Wed,"{egg, milk, rice, cauliflower, daal, roti, ladies finger}"
3,Thu,"{egg, milk, rice, cauliflower, daal, roti, ladies finger}"
3,Fri,"{egg, milk, rice, cauliflower, daal, roti, ladies finger}"
4,Mon,"{egg, milk, rice, cauliflower, daal, roti, ladies finger}"
4,Tue,"{egg, milk, rice, cauliflower, daal, roti, ladies finger}"
4,Wed,"{egg, milk, rice, cauliflower, daal, roti, ladies finger}"
4,Thu,"{egg, milk, rice, cauliflower, daal, roti, ladies finger}"
4,Fri,"{egg, milk, rice, cauliflower, daal, roti, ladies finger}"
